Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Trittfrequenz,Max. Trittfrequenz,Normalized Power® (NP®),Training Stress Score®,Maximale Ø Leistung (20 min),Ø Leistung,Max. Leistung,Dekompression,Beste Rundenzeit,Anzahl der Runden,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Virtuelles Radfahren,2021-03-04 17:26:40,false,"Zwift - Pebble Pounder - SST Bursts 10","17,99","249","00:40:11","170","195","0,0","26,9","46,5","114","--","82","107","117","0,0","126","108","426","Nein","00:00:12","30","00:40:06","00:40:10","41","71"
Virtuelles Radfahren,2021-03-02 16:57:51,false,"Zwift - Pebble Pounder - SST Over Under","9,06","235","00:41:53","157","183","0,0","13,0","34,8","313","--","81","114","105","0,0","109","99","285","Nein","00:00:30","20","00:41:06","00:41:53","280","581"
Virtuelles Radfahren,2021-02-27 17:40:04,false,"Zwift - Pebble Pounder - VO2 Max - 4x3 Ramps","19,17","218","00:41:18","159","196","0,0","27,9","43,5","71","--","88","106","109","0,0","107","92","187","Nein","00:00:10","22","00:41:12","00:41:17","10","34"
Radfahren,2021-02-24 15:17:25,false,"Pliening Radfahren","19,49","262","00:52:54","119","186","--","22,1","38,0","20","13","--","--","--","0,0","--","--","--","Nein","00:12:16","4","00:52:28","00:54:20","487","507"
Virtuelles Radfahren,2021-02-22 17:43:53,false,"Zwift - Pebble Pounder - Big Gear SST - 2x10","17,40","221","00:40:09","147","175","0,0","26,0","46,2","99","--","80","109","102","0,0","106","96","125","Nein","00:00:10","13","00:40:04","00:40:08","41","71"
Virtuelles Radfahren,2021-02-18 16:56:50,false,"Zwift - Pebble Pounder - Big Gear SST - 3x5","15,46","196","00:35:09","143","168","0,0","26,4","53,2","84","--","78","110","105","0,0","111","97","145","Nein","00:00:10","15","00:35:03","00:35:08","5","29"
Virtuelles Radfahren,2021-02-11 18:03:00,false,"Zwift - Pebble Pounder - SST Bursts 6","13,92","173","00:30:11","153","176","0,0","27,7","65,5","162","--","82","108","109","0,0","115","99","159","Nein","00:00:12","22","00:30:06","00:30:10","4","46"
Virtuelles Radfahren,2021-02-08 18:21:51,false,"Zwift - Pebble Pounder - Big Gear SST - 2 x 6","11,68","175","00:30:18","142","171","0,0","23,1","79,1","213","--","76","112","109","0,0","112","101","145","Nein","00:00:19","14","00:30:17","00:30:17","97","183"
Indoor Cycling,2021-02-03 17:00:47,false,"Indoor Cycling","0,00","221","00:30:00","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:00:00","1","00:00:00","00:00:00","--","--"
Virtuelles Radfahren,2021-01-29 15:59:16,false,"Zwift - Technique: 3X3 IM, 3X3 70.3, 3X3 SST High Cadence","25,29","359","01:05:08","--","--","0,0","23,3","61,4","405","--","80","107","100","0,0","105","96","122","Nein","00:00:09","21","01:05:03","01:05:07","4","64"
Indoor Cycling,2021-01-29 15:58:57,false,"Indoor Cycling","0,00","498","01:05:14","153","179","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","01:05:14","1","00:00:00","01:05:14","--","--"
Indoor Cycling,2021-01-27 16:31:44,false,"Indoor Cycling","0,00","394","00:48:31","153","182","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:48:31","1","00:00:00","00:48:31","--","--"
Indoor Cycling,2021-01-25 16:22:34,false,"Indoor Cycling","0,00","387","00:42:58","168","210","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:42:58","1","00:00:00","00:42:58","--","--"
Indoor Cycling,2021-01-22 14:59:56,false,"Indoor Cycling","0,00","517","02:00:23","124","151","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","02:00:23","1","00:00:00","02:00:23","--","--"
Indoor Cycling,2021-01-21 18:19:09,false,"Indoor Cycling","0,00","240","00:30:08","150","186","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:30:08","1","00:00:00","00:32:08","--","--"
Indoor Cycling,2021-01-20 12:48:56,false,"Indoor Cycling","0,00","176","00:33:15","124","141","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:33:15","1","00:00:00","00:33:15","--","--"
Indoor Cycling,2021-01-17 11:35:33,false,"Indoor Cycling","0,00","377","00:48:20","154","185","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:48:20","1","00:00:00","00:51:22","--","--"
Indoor Cycling,2021-01-15 15:41:35,false,"Indoor Cycling","0,00","449","01:45:00","122","142","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","01:45:00","1","00:00:00","01:45:00","--","--"
Indoor Cycling,2021-01-14 18:20:25,false,"Indoor Cycling","0,00","314","00:39:59","150","175","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:39:59","1","00:00:00","00:39:59","--","--"
Indoor Cycling,2021-01-12 18:40:11,false,"Indoor Cycling","0,00","243","00:25:18","173","189","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:25:18","1","00:00:00","00:25:18","--","--"
Indoor Cycling,2021-01-12 18:13:26,false,"Indoor Cycling","0,00","61","00:26:34","87","153","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:26:34","1","00:00:00","00:26:34","--","--"
Indoor Cycling,2021-01-10 18:01:45,false,"Indoor Cycling","0,00","341","00:45:15","150","178","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:45:15","1","00:00:00","00:45:15","--","--"
Indoor Cycling,2021-01-08 16:25:42,false,"Indoor Cycling","0,00","433","01:30:47","125","150","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","01:30:47","1","00:00:00","01:30:47","--","--"
Indoor Cycling,2021-01-07 17:15:16,false,"Indoor Cycling","0,00","334","00:42:26","152","183","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:42:26","1","00:00:00","00:42:26","--","--"
Indoor Cycling,2021-01-05 17:23:21,false,"Indoor Cycling","0,00","371","00:40:22","168","187","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:40:22","1","00:00:00","00:40:22","--","--"
Indoor Cycling,2021-01-03 19:09:16,false,"Indoor Cycling","0,00","370","00:42:18","162","195","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:42:18","1","00:00:00","00:43:33","--","--"
Indoor Cycling,2021-01-01 16:48:46,false,"Indoor Cycling","0,00","303","00:37:08","158","186","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:37:08","1","00:00:00","00:37:08","--","--"
Indoor Cycling,2020-12-29 18:03:44,false,"Indoor Cycling","0,00","335","00:40:10","157","181","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:40:10","1","00:00:00","00:40:10","--","--"
Indoor Cycling,2020-12-27 12:07:05,false,"Indoor Cycling","19,00","230","00:40:00","154","180","--","28,5","--","--","--","--","--","--","0,0","--","--","--","Nein","00:29:10","1","00:00:00","00:29:10","--","--"
Indoor Cycling,2020-12-25 17:18:12,false,"Indoor Cycling","0,00","204","01:00:18","105","131","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","01:00:18","1","00:00:00","01:00:18","--","--"
Indoor Cycling,2020-12-24 11:46:37,false,"Indoor Cycling","0,00","303","00:41:39","148","176","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:41:39","1","00:00:00","00:41:39","--","--"
Indoor Cycling,2020-12-22 10:45:07,false,"Indoor Cycling","13,70","206","00:35:00","--","--","--","23,5","--","--","--","--","--","--","0,0","--","--","--","Nein","00:00:00","1","--:--:--","00:00:00","--","--"
Indoor Cycling,2020-12-20 17:06:59,false,"Indoor Cycling","0,00","318","00:41:10","153","196","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:41:10","1","00:00:00","00:41:10","--","--"
Indoor Cycling,2020-12-19 17:43:13,false,"Indoor Cycling","0,00","217","00:36:16","130","154","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:36:16","1","00:00:00","00:36:16","--","--"
Indoor Cycling,2020-12-17 18:36:10,false,"Indoor Cycling","0,00","264","00:30:32","160","192","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:30:32","1","00:00:00","00:30:32","--","--"
Indoor Cycling,2020-12-15 17:18:23,false,"Indoor Cycling","0,00","254","00:31:07","152","181","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:31:07","1","00:00:00","00:31:07","--","--"
Indoor Cycling,2020-12-13 18:24:29,false,"Indoor Cycling","0,00","250","00:34:33","145","183","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:34:33","1","00:00:00","00:34:33","--","--"
Indoor Cycling,2020-12-10 17:13:39,false,"Indoor Cycling","0,00","244","00:30:48","152","180","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:30:48","1","00:00:00","00:30:48","--","--"
Indoor Cycling,2020-12-09 20:51:29,false,"Indoor Cycling","0,00","144","00:25:18","126","145","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:25:18","1","00:00:00","00:25:18","--","--"
Indoor Cycling,2020-11-30 18:51:35,false,"Indoor Cycling","0,00","334","00:41:14","153","181","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:41:14","1","00:00:00","00:41:14","--","--"
Indoor Cycling,2020-11-29 17:07:11,false,"Indoor Cycling","0,00","131","00:20:12","132","160","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:20:12","1","00:00:00","00:20:12","--","--"
Indoor Cycling,2020-11-22 17:36:57,false,"Indoor Cycling","0,00","270","00:52:49","123","162","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:52:49","1","00:00:00","00:53:27","--","--"
Indoor Cycling,2020-11-17 17:34:56,false,"Indoor Cycling","0,00","264","00:36:17","144","187","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:36:17","1","00:00:00","00:36:17","--","--"
Indoor Cycling,2020-11-13 18:15:52,false,"Indoor Cycling","0,00","322","00:47:48","142","214","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:47:48","1","00:00:00","00:50:42","--","--"
Indoor Cycling,2020-11-10 18:46:03,false,"1-Minuten-Intervalle","0,00","275","00:41:47","150","193","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:00:02,1","33","00:00:00","00:41:47","--","--"
Indoor Cycling,2020-11-10 18:25:40,false,"1-Minuten-Intervalle","0,00","126","00:17:46","139","167","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:00:45,9","5","00:00:00","00:19:21","--","--"
Indoor Cycling,2020-11-08 16:21:07,false,"Zone 2 - Aerob","0,00","353","01:00:11","133","170","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:00:10,8","2","00:00:00","01:02:25","--","--"
Indoor Cycling,2020-11-06 18:05:52,false,"Indoor Cycling","0,00","70","00:24:48","92","150","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:24:48","1","00:00:00","00:24:48","--","--"
Radfahren,2020-11-02 11:31:23,false,"Pliening Radfahren","23,69","407","01:10:04","139","187","--","20,3","44,8","122","118","--","--","--","0,0","--","--","--","Nein","00:11:30","5","01:09:12","01:19:31","489","530"
Indoor Cycling,2020-11-01 16:27:15,false,"Indoor Cycling","0,00","335","00:43:10","151","175","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:43:10","1","00:00:00","00:43:50","--","--"
Indoor Cycling,2020-10-29 19:10:25,false,"Indoor Cycling","0,00","268","00:35:38","144","168","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:35:38","1","00:00:00","00:35:38","--","--"
Indoor Cycling,2020-10-26 19:51:53,false,"Indoor Cycling","0,00","254","00:32:41","152","192","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:32:41","1","00:00:00","00:32:41","--","--"
Indoor Cycling,2020-10-22 17:36:45,false,"Indoor Cycling","0,00","81","00:17:04","114","157","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:17:04","1","00:00:00","00:17:04","--","--"
Indoor Cycling,2020-10-21 18:09:07,false,"Indoor Cycling","0,00","188","00:22:19","151","169","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:22:19","1","00:00:00","00:22:19","--","--"
Indoor Cycling,2020-10-19 18:15:34,false,"Indoor Cycling","0,00","311","00:39:58","149","178","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:39:58","1","00:00:00","00:39:58","--","--"
Indoor Cycling,2020-10-18 17:45:13,false,"Indoor Cycling","0,00","259","00:31:19","152","167","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:31:19","1","00:00:00","00:31:19","--","--"
Indoor Cycling,2020-10-17 18:01:09,false,"Indoor Cycling","0,00","285","00:32:21","158","194","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:32:21","1","00:00:00","00:32:21","--","--"
Indoor Cycling,2020-10-15 17:23:01,false,"Indoor Cycling","0,00","280","00:33:18","153","177","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:33:18","1","00:00:00","00:33:43","--","--"
Indoor Cycling,2020-09-27 18:00:43,false,"Indoor Cycling","0,00","296","00:35:23","153","183","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:35:23","1","00:00:00","00:35:23","--","--"
Indoor Cycling,2020-09-23 17:24:10,false,"Indoor Cycling","0,00","233","00:29:27","148","165","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:29:27","1","00:00:00","00:30:07","--","--"
Indoor Cycling,2020-09-13 17:26:44,false,"Indoor Cycling","0,00","149","00:18:09","149","164","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:18:09","1","00:00:00","00:18:09","--","--"
Radfahren,2020-09-11 15:51:08,false,"Pliening Radfahren","19,56","367","00:55:00","141","170","--","21,3","37,0","17","19","--","--","--","0,0","--","--","--","Nein","00:12:57","4","00:54:40","00:56:19","481","500"
Indoor Cycling,2020-09-08 21:10:24,false,"Indoor Cycling","0,00","181","00:21:38","151","164","--","--","--","--","--","--","--","--","0,0","--","--","--","Nein","00:21:38","1","00:00:00","00:21:38","--","--"
Indoor Cycling,2020-09-06 09:43:50,false,"Indoor Cycling","18,84","664","01:03:12","183","205","--","17,9","--","--","--","--","--","--","0,0","--","--","--","Nein","01:03:12","1","00:00:00","01:03:12","--","--"
Indoor Cycling,2020-08-29 15:08:26,false,"Indoor Cycling","8,41","259","00:30:03","161","198","--","16,8","--","--","--","--","--","--","0,0","--","--","--","Nein","00:30:03","1","00:00:00","00:30:44","--","--"
Radfahren,2020-07-17 17:12:33,false,"Pliening Radfahren","8,20","177","00:27:14","136","157","--","18,1","22,9","11","9","--","--","--","0,0","--","--","--","Nein","00:11:07","2","00:26:57","00:45:45","490","503"
Radfahren,2020-06-18 14:27:26,false,"Pliening Radfahren","2,29","43","00:06:05,7","138","170","--","22,6","24,4","11","--","--","--","--","0,0","--","--","--","Nein","00:06:05,7","1","00:06:05,7","00:06:05,7","498","509"
Radfahren,2020-06-08 16:03:39,false,"Pliening Radfahren","7,96","157","00:26:39","131","158","--","17,9","25,8","15","10","--","--","--","0,0","--","--","--","Nein","00:09:20,9","2","00:26:23","00:31:26","494","508"
Radfahren,2020-05-22 12:08:30,false,"Pliening Radfahren","34,69","557","01:55:38","127","168","--","18,0","40,5","36","33","--","--","--","0,0","--","--","--","Nein","00:14:48","7","01:54:37","03:05:14","466","485"
Radfahren,2020-05-01 16:08:47,false,"Pliening Radfahren","6,84","94","00:24:23","110","140","--","16,8","22,6","7","7","--","--","--","0,0","--","--","--","Nein","00:06:19,1","2","00:24:05","00:45:44","493","500"
Radfahren,2020-04-25 11:23:18,false,"Aschheim Radfahren","5,07","132","00:21:15","134","154","--","14,3","16,1","2","--","--","--","--","0,0","--","--","--","Nein","00:00:23,0","2","00:21:12","00:21:15","506","508"
Radfahren,2020-04-20 12:24:13,false,"Pliening Radfahren","1,76","32","00:06:25,0","119","158","--","16,4","23,9","--","--","--","--","--","0,0","--","--","--","Nein","--:--:--","1","00:06:16","00:25:06","503","507"
Radfahren,2020-04-16 14:20:39,false,"Pliening Radfahren","9,08","311","01:17:28","116","152","--","7,0","22,2","15","11","--","--","--","0,0","--","--","--","Nein","00:38:33","2","00:36:18","01:29:28","493","516"
Radfahren,2020-04-15 17:07:46,false,"Pliening Radfahren","11,29","159","00:42:52","108","138","--","15,8","23,6","15","16","--","--","--","0,0","--","--","--","Nein","00:04:52,1","3","00:42:38","00:44:01","481","496"
Radfahren,2020-04-11 11:44:46,false,"Poing Radfahren","2,73","40","00:10:22","105","124","--","15,8","21,6","--","8","--","--","--","0,0","--","--","--","Nein","--:--:--","1","00:10:12","00:12:59","512","521"
Radfahren,2020-04-11 10:39:44,false,"Pliening Radfahren","2,96","63","00:12:07","119","135","--","14,7","21,6","7","--","--","--","--","0,0","--","--","--","Nein","--:--:--","1","00:11:56","00:13:48","505","515"
Radfahren,2020-04-10 13:49:34,false,"Pliening Radfahren","0,01","--","00:00:03,3","105","106","--","14,2","5,6","--","--","--","--","--","0,0","--","--","--","Nein","--:--:--","1","00:00:03,3","00:00:03,3","495","511"
Radfahren,2020-04-10 12:15:05,false,"Pliening Radfahren","13,02","186","00:48:35","110","133","--","16,1","29,1","10","15","--","--","--","0,0","--","--","--","Nein","00:13:47","3","00:47:35","01:34:13","490","511"
Radfahren,2020-04-09 15:28:34,false,"Pliening Radfahren","14,14","225","01:05:15","107","136","--","13,0","20,4","15","14","--","--","--","0,0","--","--","--","Nein","00:19:04","3","01:04:41","01:33:41","465","513"
Radfahren,2020-04-05 12:23:43,false,"Pliening Radfahren","6,76","137","00:27:14","122","142","--","14,9","24,4","8","6","--","--","--","0,0","--","--","--","Nein","00:07:31,0","2","00:26:59","00:37:46","486","496"
Radfahren,2020-04-04 16:18:20,false,"Pliening Radfahren","11,59","317","01:11:12","120","167","--","9,8","34,9","47","44","--","--","--","0,0","--","--","--","Nein","00:05:06,1","3","00:43:20","01:26:05","494","526"
Radfahren,2020-04-01 15:21:31,false,"Pliening Radfahren","10,01","181","00:36:14","122","177","--","16,6","33,6","37","44","--","--","--","0,0","--","--","--","Nein","00:00:08,0","3","00:35:57","01:44:00","514","552"
Radfahren,2020-02-15 14:47:57,false,"Pliening Radfahren","36,41","761","01:58:12","141","190","--","18,5","34,7","142","133","--","--","--","0,0","--","--","--","Nein","00:04:31,4","8","01:57:18","02:56:18","483","540"
